%Runtime 20151211,  Coefs: 0.9806 / 0.077
%nrec yyyy MM dd hh mm ss lat lon Ts
393 2015 10 11 12 25 35 36.18289 -75.57348 21.297
394 2015 10 11 12 48 42 36.16331 -75.57940 21.076
395 2015 10 11 12 51 50 36.16339 -75.57930 21.147
396 2015 10 11 12 54 56 36.16363 -75.57931 21.163
397 2015 10 11 12 58 03 36.16382 -75.57946 21.170
398 2015 10 11 13 01 11 36.16387 -75.57946 21.206
399 2015 10 11 13 04 21 36.16386 -75.57946 21.216
400 2015 10 11 14 32 04 36.17530 -75.42802 21.776
401 2015 10 11 14 35 11 36.17530 -75.42799 21.786
402 2015 10 11 14 41 23 36.17534 -75.42790 21.670
403 2015 10 11 14 50 43 36.17990 -75.42523 21.673
404 2015 10 11 15 27 06 36.17626 -75.40418 21.745
405 2015 10 11 15 30 13 36.17053 -75.41065 21.764
406 2015 10 11 15 39 33 36.16679 -75.43298 21.698
407 2015 10 11 15 42 39 36.16729 -75.43353 21.674
408 2015 10 11 15 45 46 36.16732 -75.43351 21.692
409 2015 10 11 18 29 02 36.17441 -75.06996 21.653
410 2015 10 11 18 32 08 36.17323 -75.07068 21.678
411 2015 10 11 18 35 15 36.17427 -75.07044 21.694
412 2015 10 11 18 41 29 36.17529 -75.05905 21.812
413 2015 10 11 18 50 49 36.16552 -75.05374 22.137
414 2015 10 11 18 53 55 36.16647 -75.06124 21.967
415 2015 10 11 19 00 08 36.17615 -75.06164 21.905
416 2015 10 11 19 03 14 36.17473 -75.05604 21.813
417 2015 10 11 20 01 09 36.10305 -75.11515 21.670
418 2015 10 11 20 04 15 36.09697 -75.12157 21.848
419 2015 10 11 20 07 21 36.09096 -75.12807 21.637
420 2015 10 11 20 10 28 36.08494 -75.13466 21.791
421 2015 10 11 20 13 35 36.07889 -75.14127 21.734
422 2015 10 11 20 19 48 36.06708 -75.15442 21.723
423 2015 10 11 20 22 55 36.06119 -75.16107 21.710
424 2015 10 11 20 32 13 36.04342 -75.18119 21.725
425 2015 10 11 20 35 20 36.03759 -75.18778 21.726
426 2015 10 11 20 38 27 36.03171 -75.19430 21.865
427 2015 10 11 20 41 34 36.02586 -75.20080 21.807
